,dup_view_count,time_diff,vs,issu_ratio,c_label,user_id
3040,0.0024038461538461522,0.008428029150324562,0.8455599132450969,0.6470588235294118,2,jongbin.choi
3041,0.007692307692307693,0.05605220472751248,0.6757147811776614,0.9666666666666667,1,jongbok
3042,0.007692307692307693,0.007447269876630817,1.0,0.8333333333333334,1,jongcheol.kim
3043,0.0,0.008486210193479352,0.7852541554899235,0.6666666666666666,2,jongdae-ya
3044,0.0016366612111292991,0.013348558791486435,0.9776713127583273,1.0,1,jonggyu.noh
3045,0.006993006993006999,0.057857972156669296,0.8213705020666182,0.46153846153846156,2,jongholee
3046,0.0,0.044808506276356026,0.25938213702213764,1.0,1,jonghoon.park
3047,0.0,0.024706849190042394,0.7448150029523115,0.9523809523809523,1,jonghoonson
3048,0.0,0.01702975031355616,1.0,1.0,1,jonghu
3049,0.0027472527472527444,0.028562760488409136,0.8721966047843809,0.7333333333333333,2,jonghun.lim
3050,0.0038461538461538464,0.0758916283185615,0.7034868430515542,0.8181818181818182,1,jonghwa
3051,0.006993006993006999,0.21192632054186508,0.7172495647685506,1.0,1,jonghwan.ma
3052,0.002136752136752136,0.015028523699361952,0.8809136680444121,1.0,1,jongik
3053,0.0,0.03252846505796645,0.8809136680444121,0.16666666666666666,0,jongilchoi
3054,0.0,0.011962362919247571,0.7956419735576948,0.6666666666666666,2,jongilpark
3055,0.0,0.0049725184098920175,0.8680889861415028,0.7,2,jongin2776
3056,0.001831501831501832,0.15932095217337808,0.6307942468248164,1.0,1,jongjaekim
3057,0.007597340930674261,0.1424954000413639,0.5786501354243886,0.9484536082474226,1,jongkoog
3058,0.004615384615384618,0.013632821015765753,0.9206091120296082,1.0,1,jongkoolee
3059,0.0,0.02887590531100264,0.5429964979240262,0.13333333333333333,0,jongkwan.lee
3060,0.0,0.15115023906258215,0.7408055346500745,1.0,1,jongkweon
3061,0.0048076923076923045,0.005264910670820844,0.5612526492709146,0.08333333333333333,0,jongkyung.moon
3062,0.0038461538461538464,0.006277366809813765,0.892822301239971,0.7142857142857143,2,jonglee2
3063,0.004273504273504272,0.11490436947008788,0.7526668490153174,1.0,1,jongmanl
3064,0.0,0.08180241820520974,0.7320557530999271,0.8333333333333334,1,jongmin.yun
3065,0.0,0.0563085214574011,0.9654265487870876,0.9375,1,jongmyungkim
3066,0.002136752136752136,0.07456364512045298,0.8213705020666182,1.0,1,jongseyo
3067,0.0048076923076923045,0.019229613614601772,0.8129696098370779,1.0,1,jongsik33
3068,0.0,0.007486132179814525,0.9330139382749819,1.0,1,jongsoo.lee
3069,0.010256410256410255,0.03137397042986518,0.7104011099027447,1.0,1,jongtaepark
3070,0.0,0.046677640824380584,1.0,1.0,1,jonguk.ryu
3071,0.0,0.05495888104499972,0.7051825317420262,0.7619047619047619,2,jongwan
3072,0.0,0.17431794278674148,0.6142739076013841,1.0,1,jongwon.baek
3073,0.0048076923076923045,0.21313252935043328,0.7244796923352368,0.7777777777777778,2,jonjin21
3074,0.0,0.01074744381594929,0.7120566154962517,1.0,1,joo
3075,0.0,0.19030277834527803,1.0,1.0,1,joochic
3076,0.0015384615384615372,0.06472956359390111,0.9175556163384393,1.0,1,joodlee
3077,0.0,0.09634653346596195,0.619692036657961,0.3333333333333333,0,joohkim
3078,0.005842259006815967,0.03237086610680755,0.8574232495810963,1.0,1,joohko
3079,0.0,0.003406568697213277,0.9175556163384393,0.07692307692307693,0,joohon
3080,0.0,0.05734905263179532,0.6550598274704458,1.0,1,joohong
3081,0.01602564102564103,0.14245547319495122,0.4114493588602779,1.0,1,joohw
3082,0.003496503496503496,0.006795823202371833,0.9353002249112105,1.0,1,joohwan
3083,0.002958579881656806,0.07840423988941066,0.4368036195603864,0.4642857142857143,2,joohyeong
3084,0.03205128205128205,0.2045575139765383,0.49435034964353797,1.0,1,jook
3085,0.007692307692307693,0.08172231689600298,0.3761708302941892,1.0,1,jookc
3086,0.0,0.005772400962230626,0.5264778395300436,0.16666666666666666,0,joon84
3087,0.0,0.04315520204022779,1.0,1.0,1,joon9393
3088,0.0033738191632928516,0.03388767301490402,0.8418689690425799,1.0,1,joongho
3089,0.002564102564102562,0.03937130300260112,1.0,0.75,1,joonghokim
3090,0.005867014341590614,0.040724305576162634,0.6779120888843493,0.9852941176470589,1,joongki
3091,0.005494505494505496,0.00692535878015534,1.0,1.0,1,joongon
3092,0.0016025641025641038,0.05764992972186058,0.9142578409919768,0.9615384615384616,1,joonheo
3093,0.006410256410256415,0.0065758182865140674,1.0,1.0,1,joonho.park
3094,0.0,0.012769453650592458,0.5065280025139726,0.0,0,joons.kim
3095,0.0,0.006770924483768097,0.892822301239971,1.0,1,joonsco
3096,0.007692307692307693,0.11071205342596736,0.8213705020666182,0.8571428571428571,1,joonsite
3097,0.004273504273504272,0.2418162236369457,0.6925692325041269,0.4,2,joonsoo
3098,0.0038461538461538464,0.06444440668841436,0.624878054339898,0.6363636363636364,2,joonyi
3099,0.0,0.009510408529202818,0.8660278765499636,0.75,2,joonyounglee
3100,0.0,0.006694304723044906,0.635179967183675,0.0,0,joosb
3101,0.012820512820512817,0.009382625422222065,0.940456834022206,0.75,1,joosh
3102,0.0,0.0057281837782025185,0.17148445089528197,0.0,0,jopark
3103,0.010121457489878541,0.03705408895155012,0.590100554690664,0.6666666666666666,2,jopd
3104,0.002958579881656806,0.0536003387844133,0.7877692196499316,1.0,1,jorpulse
3105,0.19230769230769232,0.33512483198075926,1.0,1.0,1,jos2214
3106,0.0,0.017715011553826977,0.7618273360888241,0.6666666666666666,2,josanghee
3107,0.008791208791208795,0.011948112584551848,0.8152723132256866,1.0,1,joseph
3108,0.0040485829959514205,0.04940598556643049,0.6724920588570495,0.47619047619047616,2,joseph68
3109,0.0,0.037278680387778984,0.892822301239971,0.7692307692307693,1,josephine
3110,0.0048076923076923045,0.0067500930045573905,0.5253966265014667,0.3333333333333333,0,josh
3111,0.0,0.00996336312573166,0.8213705020666182,0.0,0,joshua
3112,0.0,0.1600946909046446,0.7526668490153174,0.8461538461538461,1,josung
3113,0.0038461538461538464,0.0451721473166495,0.22296168398978855,0.0,0,joungmi
3114,0.010256410256410255,0.07430578694905444,0.8420050783829145,1.0,1,journey44
3115,0.0038461538461538464,0.018344096181531704,0.9025657283999735,1.0,1,joyfuldj
