,user_id,dup_view_count,time_diff,vs,issu_ratio,seq
0,0007,1.0,9.809,1.0,1.0,1
1,0070,1.0,9.001,1.0,1.0,1
2,007jdl,1.2352941176470589,138.02829411764708,0.7282977856269528,0.38095238095238093,21
3,007yckim,1.0,18.38,1.0,1.0,1
4,01036908498,1.1111111111111112,53.74121052631579,0.8421052631578947,1.0,20
5,01062100036,1.0,12.1645,0.6585365853658537,0.0,4
6,01075260306,1.1304347826086956,105.50956521739131,0.4604358767767797,0.19230769230769232,26
7,0119k,1.0,12.181,0.5625,0.0,4
8,012kim,1.0,6.263,0.61,0.25,4
9,0218,1.0,35.004,1.0,1.0,1
10,02z90000,1.0,664.2674999999999,0.5,1.0,2
11,02z90025,1.3636363636363635,288.123,0.48916637660981555,1.0,15
12,02z90039,1.0,10.236166666666666,1.0,1.0,6
13,02z90046,1.0,18.021,0.5,1.0,2
14,02z90218,1.0,12.568,1.0,1.0,1
15,02z90242,1.0,10.865,1.0,1.0,1
16,02z90244,1.0,12.5595,1.0,1.0,2
17,02z90265,1.0,16.428666666666665,1.0,1.0,3
18,02z90286,1.0,23.726800000000004,1.0,1.0,5
19,02z90287,1.0,111.247,0.6666666666666666,1.0,3
20,02z90291,1.0,12.206,1.0,1.0,1
21,02z90299,1.0,340.9048571428571,0.6134453781512604,1.0,7
22,03bruce,1.0,9.446,1.0,1.0,1
23,0424kim,1.0,799.8855,1.0,0.5,2
24,05jang,1.0,12.486,1.0,1.0,1
25,072300,1.3333333333333333,14.622625,0.7151211361737678,1.0,8
26,07z900411,1.0,9.011,1.0,1.0,1
27,090gu,1.0,13.735,1.0,1.0,1
28,0920,1.2952380952380953,223.90800740740744,0.5566682737331251,1.0,136
29,0942,1.0,256.46799999999996,0.5,0.5,2
30,09root,1.0,1318.45,1.0,1.0,1
31,0a0447,1.037037037037037,205.21550000000002,0.753092720369085,0.9655172413793104,28
32,0a0449,1.0,19.351,1.0,1.0,1
33,0hyunjun,1.0,13.9566,1.0,0.2,5
34,0jaepark,1.0,12.241999999999999,0.40841194968553457,0.6666666666666666,3
35,0sic,1.0,11.4075,1.0,0.5,2
36,100,1.0,13.516,1.0,1.0,1
37,100.0.1,1.0,45.7466,0.5977941176470588,1.0,5
38,10000ash,1.0,8.383,1.0,1.0,1
39,10009kim,1.0,10.868,1.0,0.0,1
40,1000seop,1.0,16.28,1.0,1.0,1
41,100483,1.0454545454545454,268.710652173913,0.4967550228114616,0.391304347826087,23
42,100687,1.0,11.306,1.0,1.0,6
43,100756,1.0,16.523,1.0,0.5,2
44,100yj,1.0,10.3794,0.5111111111111111,0.0,5
45,101092,1.0,23.375,0.5454545454545454,0.0,4
46,1011kjw,1.0,10.987,1.0,1.0,1
47,1015,1.0,219.64825000000005,1.0,1.0,12
48,10241,1.0,10.309,1.0,1.0,1
49,1025jung,1.0,26.259666666666664,0.6666666666666666,0.3333333333333333,3
50,105491,1.0,14.448666666666666,1.0,1.0,3
51,107522,1.5,152.7223333333333,0.7276197085357391,1.0,15
52,107910,1.0,9.753,1.0,1.0,1
53,10abba,1.125,327.5592,0.8501531728665208,1.0,27
54,1109229,1.0,6.834,1.0,1.0,2
55,1117kyh,1.0,35.741625,0.5352760736196318,0.0,8
56,1129hsc,1.125,15.659888888888892,0.8268471517202483,1.0,9
57,1130cch,1.2666666666666666,90.891,0.48374901581097174,0.5789473684210527,19
58,113784,1.0,25.113666666666663,0.8888888888888888,1.0,9
59,1142ksj,1.0,224.1655,1.0,1.0,2
60,115176,1.0,10.742,1.0,1.0,1
61,116088,1.1666666666666667,84.068,0.43827160493827155,0.0,7
62,118690,1.0,12.367,1.0,1.0,1
63,119146,1.0,16.0605,1.0,1.0,2
64,119kim,1.0,9.954,1.0,1.0,1
65,120128,1.0,17.333,1.0,1.0,1
66,1202,1.0,20.009,1.0,1.0,1
67,120425,1.0,38.046800000000005,0.5241379310344827,0.0,5
68,122toto,1.0,11.649,1.0,1.0,1
69,126868,1.25,21.732599999999998,1.0,1.0,5
70,127953,1.0,185.111,1.0,1.0,3
71,127997,1.0,34.107,0.5192982456140351,0.0,5
72,128717,1.0,8.327,1.0,0.0,1
73,128728,1.0,9.688,1.0,1.0,1
74,12ggoltong,1.0,17.275600000000004,0.8,0.8,5
75,12sukpo,1.0,16.337,1.0,1.0,2
76,132461,1.1,86.2558,0.35625,0.0,11
77,133666,1.0,5.4025,0.5,0.5,2
78,133987,1.0,9.311333333333334,1.0,1.0,3
79,134161,1.0,10.392000000000001,0.6666666666666666,0.0,3
80,134230,1.0,91.17366666666665,0.6666666666666666,1.0,3
81,1346,1.0,16.948,0.7372448979591837,0.25,4
82,135040,1.0,19.73,1.0,1.0,1
83,135084,1.0,7.886,1.0,0.0,1
84,135222,1.0,9.549666666666665,1.0,0.6666666666666666,3
85,135357,1.0,12.299399999999999,0.6338983050847458,0.0,5
86,135506,1.2,15.692750000000002,0.936656282450675,1.0,30
87,135858,1.0,11.456,1.0,1.0,1
88,135951,1.0,21.844199999999997,0.6756756756756757,1.0,5
89,136464,1.0,38.141,1.0,0.0,1
90,136624,1.1666666666666667,53.297578947368415,0.6219432073802491,0.7142857142857143,21
91,136646,1.0,10.122,1.0,1.0,1
92,13714,1.5,23.458000000000002,0.40444140512525195,1.0,9
93,137718,1.125,11.0305,0.6799999999999999,0.5555555555555556,9
94,138871,1.0,9.268,1.0,1.0,1
95,139191,1.3333333333333333,14.204250000000002,1.0,1.0,4
96,139761,2.0,31.623200000000004,0.6,1.0,10
97,139783,1.0,15.042,1.0,1.0,1
98,139852,1.0,10.054,1.0,1.0,1
99,13mocy,1.0,68.0445,0.5,0.0,2
100,140003,1.0,249.0285,1.0,0.5,2
101,1403joon,1.0,11.8595,1.0,0.5,2
102,140457,1.0,21.097,0.5,1.0,2
103,140468,1.0,9.589,1.0,1.0,1
104,140470,1.0,124.81585714285714,0.2503536067892504,0.0,7
105,140583,1.0,14.38,1.0,0.0,1
106,140914,1.162162162162162,81.657425,0.9680851063829788,0.9302325581395349,43
107,141303,1.0,110.52316666666667,0.18730158730158727,0.0,6
108,141440,1.0,11.60075,0.75,0.5,4
109,141575,1.0,9.319199999999999,1.0,0.8,5
110,141633,1.0,10.089,0.49382716049382713,0.0,3
111,142044,1.0,49.33364705882353,0.9090196078431373,0.9411764705882353,17
112,142330,1.0,184.3902,0.8,0.9,10
113,142443,1.0,12.5,1.0,0.0,1
114,142476,1.0,15.055,0.46212121212121215,0.0,3
115,142740,1.0,10.629999999999999,0.5,0.0,2
116,142922,1.1428571428571428,62.80153333333333,1.0,1.0,16
117,144017,1.1428571428571428,39.294500000000006,0.9375,1.0,16
118,144280,1.0,9.824,0.5181818181818182,0.0,5
119,144826,1.0,10.892,0.4541666666666666,0.0,5
120,145352,1.0,12.54,1.0,1.0,1
121,145693,1.0,17.098444444444446,0.8888888888888888,0.8888888888888888,9
122,145807,1.0,17.185,1.0,1.0,1
123,146058,1.0,10.5475,1.0,1.0,2
124,146173,1.0,10.0554,0.5454545454545454,0.0,5
125,146652,1.0,524.9865,0.6666666666666666,0.8333333333333334,6
126,147724,1.0,10.087499999999999,0.5,0.0,2
127,148363,1.0,9.598,1.0,1.0,2
128,148476,1.0,18.743,1.0,1.0,1
129,148818,1.0,10.322,1.0,1.0,1
130,149537,1.0,40.116,1.0,0.5,2
131,149630,1.0,8.881333333333332,1.0,1.0,3
132,151158,1.0,10.582,1.0,1.0,1
133,154854,1.0,10.505,1.0,0.0,1
134,157056,1.0,48.01190000000001,1.0,1.0,10
135,1604,1.0,10.237333333333332,0.47194719471947194,0.0,3
136,161105,1.125,72.3255,0.7782468837957378,0.9444444444444444,18
137,161124,1.0,10.756,1.0,1.0,1
138,1676,1.0,96.78662500000002,0.875,1.0,8
139,1691g,1.0,37.004,1.0,1.0,1
140,16hrsg,1.0,10.7595,0.5,0.0,2
141,1787632,1.0,11.722,1.0,1.0,1
142,1852,1.0,25.561666666666667,0.4656084656084656,0.0,3
143,18hawk,1.0869565217391304,39.44407999999999,0.7842857142857143,0.8,25
144,193cm,1.3076923076923077,193.753,0.5926358148893359,0.9411764705882353,17
145,1980advent,1.5,204.5695,1.0,0.3333333333333333,3
146,19841105,1.0,12.183,1.0,1.0,2
147,1995tjdgus,1.1111111111111112,34.6449,0.9,0.9,10
148,1dragon,1.0,9.906,1.0,0.0,1
149,1hilarius,1.0,324.436,1.0,1.0,1
150,1k4613kkd,1.0,10.094,1.0,1.0,1
151,1onestone,1.1,105.66159999999999,0.6788135593220339,0.5454545454545454,11
152,1park,1.0,11.111,0.5,0.0,2
153,1steel,1.1304347826086956,55.32415384615386,0.7714118543186829,0.8846153846153846,26
154,1stone,1.135135135135135,37.56017948717949,0.8910256410256411,1.0,42
155,1sudosan,1.0,42.965500000000006,0.5,0.0,4
156,2000ton,1.0,9.356,1.0,1.0,1
157,2002hufs,1.0,12.597,0.7886497064579255,0.2857142857142857,7
158,2016energy,1.0,9.753,1.0,1.0,1
159,20761,1.0,9.956,1.0,1.0,1
160,211550,1.0,9.7945,1.0,1.0,2
161,2197,1.0,490.021,1.0,1.0,3
162,21bae,1.2173913043478262,153.81314814814817,0.8623737373737375,0.896551724137931,28
163,21river,1.0,14.079,1.0,1.0,1
164,221224,1.0,23.1785,0.7410714285714286,0.0,4
165,221227,1.0,7.012,1.0,1.0,1
166,221273,1.0,7.672,1.0,1.0,1
167,221362,1.0,190.41483333333335,0.5311653116531165,0.5,6
168,221426,1.2769230769230768,13.5099012345679,0.849334020010566,0.9397590361445783,83
169,221428,1.0,26.27242857142857,0.35135135135135137,0.0,7
170,221436,1.2380952380952381,130.96988461538461,0.8974358974358974,1.0,26
171,221450,1.0,22.169,1.0,1.0,1
172,221451,1.1111111111111112,18.955722222222224,0.8262230919765167,0.85,20
173,221461,1.0,9.416,1.0,1.0,1
174,221473,1.0,9.654,1.0,1.0,1
175,221481,1.0,6.205,1.0,1.0,1
176,221485,1.0,28.046,1.0,1.0,1
177,221486,1.0,10.583000000000002,0.7875816993464052,0.4444444444444444,9
178,221493,1.2857142857142858,139.9465,1.0,1.0,9
179,221511,1.0,130.2500714285714,0.9285714285714286,1.0,14
180,221522,1.0208333333333333,110.15875510204083,0.8089778511642911,0.9387755102040817,49
